2017, Ford , Escape SE , 17498, 32486,  4 Cyl 1.5 L,  Black ,  4WD,  Description: Used 2017 Ford Escape SE with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Fog Lights Keyless Entry MP3 Rear-View Camera Satellite Radio 
2017, Hyundai , Tucson SE , 17900, 25964,  4 Cyl 2.0 L,  Black ,  AWD,  Description: Used 2017 Hyundai Tucson SE with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Fog Lights Keyless Entry MP3 Rear-View Camera Satellite Radio 
2017, Nissan , Rogue SV , 18898, 12265,  4 Cyl 2.5 L,  Black ,  AWD,  Description: Used 2017 Nissan Rogue SV with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Heated Seats Keyless Entry MP3 Rear-View Camera Remote Start Satellite Radio 
2017, Subaru , Forester 2.5i , 19422, 25187,  4 Cyl 2.5 L,  White ,  AWD,  Description: Used 2017 Subaru Forester 2.5i with AWD Air Conditioning CD (Single Disc) Cruise Control Keyless Entry MP3 Power Steering Power Windows Rear-View Camera Satellite Radio Split/Folding Seats 
2017, Volkswagen , Tiguan S , 16600, 18803,  4 Cyl 2.0 L,  White ,  AWD,  Description: Used 2017 Volkswagen Tiguan S with AWD Air Conditioning CD (Single Disc) Cruise Control Heated Seats Keyless Entry Leather Seats Power Steering Rear-View Camera Satellite Radio Split/Folding Seats 
2017, Volkswagen , Tiguan S , 16850, 19462,  4 Cyl 2.0 L,  Silver ,  AWD,  Description: Used 2017 Volkswagen Tiguan S with AWD Air Conditioning CD (Single Disc) Cruise Control Heated Seats Keyless Entry Leather Seats Power Steering Rear-View Camera Satellite Radio Split/Folding Seats 
2017, Mazda , CX-3 Touring , 18250, 36104,  4 Cyl 2.0 L,  White ,  AWD,  Description: Used 2017 Mazda CX-3 Touring with AWD Air Conditioning Cruise Control Handsfree/Bluetooth Integration Heated Seats Intermittent Wipers Keyless Entry Leather Seats Power Locks Power Steering Trip Computer 
2017, Chevrolet , Equinox LS , 16500, 22455,  4 Cyl 2.4 L,  Gray ,  FWD,  Description: Used 2017 Chevrolet Equinox LS with FWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio Split/Folding Seats 
2017, Chevrolet , Equinox LT , 19599, 13626,  4 Cyl 2.4 L,  Blue ,  AWD,  Description: Used 2017 Chevrolet Equinox LT with AWD Air Conditioning Alloy Wheels Cruise Control Heated Seats Keyless Entry MP3 Navigation System Rear-View Camera Remote Start Satellite Radio 
2017, Ford , Escape SE , 19128, 18081,  4 Cyl 2.0 L,  Blue ,  4WD,  Description: Used 2017 Ford Escape SE with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry Rear-View Camera Split/Folding Seats Trailer Hitch 
2017, Honda , HR-V LX , 17900, 36322,  4 Cyl 1.8 L,  Silver ,  AWD,  Description: Used 2017 Honda HR-V LX with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Split/Folding Seats 
2018, Mitsubishi , Outlander ES , 17185, 14531,  4 Cyl 2.4 L,  Black ,  AWD,  Description: Used 2018 Mitsubishi Outlander ES with AWD Air Conditioning Cloth Seats Cruise Control Heated Seats Keyless Entry Leather Seats Navigation System Rear-View Camera Split/Folding Seats Third Row Seating 
2017, Ford , Escape Titanium , 17995, 34201,  4 Cyl 1.5 L,  Gray ,  4WD,  Description: Used 2017 Ford Escape Titanium with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry Navigation System Rear-View Camera Remote Start 
2017, Dodge , Journey SXT , 16995, 17815,  6 Cyl 3.6 L,  White ,  AWD,  Description: Used 2017 Dodge Journey SXT with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Fog Lights Keyless Entry MP3 Satellite Radio Third Row Seating 
2017, GMC , Terrain SLE SLE-1, 16837, 19095,  4 Cyl 2.4 L,  Red ,  FWD,  Description: Used 2017 GMC Terrain SLE with FWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Keyless Entry MP3 Navigation System Power Steering Rear-View Camera Satellite Radio 
